blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,string,CxResp,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,1,0,0,2,0.928,1,0.24,0.6,0.84,0.94,1,{'HF'},F,1,1,1,1,1,1,,,-0.5,0.065260197
1,2,0,0,2,0.928,1,0.24,0.6,0.84,0.94,5,{'DF'},F,1,1,1,1,1,1,1,-0.928,-0.5,0.065260197
1,3,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,6,{'FD'},F,1,1,1,1,1,1,2,0.928,-0.5,-0.065260197
1,4,0,0,2,0.928,1,0.24,0.6,0.84,0.94,2,{'PG'},G,1,1,1,1,1,1,3,,-0.5,0.065260197
1,5,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,3,{'HP'},H,1,1,1,1,1,1,4,,-0.5,-0.065260197
1,6,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,4,{'KH'},K,1,1,1,1,1,1,,,-0.5,-0.065260197
1,7,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,7,{'DP'},D,1,1,1,1,1,1,,deg to norm,,-0.065260197
1,8,0,0,2,0.928,1,0.24,0.6,0.84,0.94,8,{'DP'},P,1,1,1,1,1,1,,14.22,,0.065260197
1,9,0,0,2,0.928,1,0.24,0.6,0.84,0.94,9,{'GD'},D,1,1,1,1,1,1,,,,0.065260197
1,10,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,10,{'PD'},P,1,1,1,1,1,1,,,,-0.065260197
1,11,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,11,{'DG'},D,1,1,1,1,1,1,,,,-0.065260197
1,12,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,12,{'DK'},D,1,1,1,1,1,1,,,-0.5,-0.065260197
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,